FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
DBA.2J	193	5451	1270	1600	381	1617	389	2234	500	3.736555847	3.104145551	3.204391332	2.582063363	3.208978517	2.591064607																																																																																																													
BXD31.TyJ	194	2	2	2	2	0	0	0	0	0.477121255	0.477121255	0.477121255	0.477121255	0	0																																																																																																													
BXD31.TyJ	195	7	5	0	0	5	3	2	2	0.903089987	0.77815125	0	0	0.77815125	0.602059991																																																																																																													
BXD31.TyJ	196	171	111	7	7	1	1	163	103	2.235528447	2.049218023	0.903089987	0.903089987	0.301029996	0.301029996																																																																																																													
BALB.cJ	197	6804	1500	2252	500	2290	500	2262	500	3.83282813	3.176380692	3.352761192	2.699837726	3.360025089	2.699837726																																																																																																													
BALB.cJ	198	6526	1500	2172	500	2170	500	2184	500	3.814713613	3.176380692	3.337059726	2.699837726	3.336659823	2.699837726																																																																																																													
129X1.SvJ	199	1	1	1	1	0	0	0	0	0.301029996	0.301029996	0.301029996	0.301029996	0	0																																																																																																													
129X1.SvJ	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
129X1.SvJ	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																													
A.J	202	1135	432	674	203	181	104	280	125	3.055378331	2.636487896	2.829303773	2.309630167	2.260071388	2.021189299																																																																																																													
A.J	203	1865	574	351	138	839	235	675	201	3.270911639	2.759667845	2.546542663	2.1430148	2.924279286	2.372912003																																																																																																													
